country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",14-12-2025 23:00,28.4275,77.1465,PM10,190,403,285
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",14-12-2025 23:00,21.613267,73.010555,NO2,21,22,21
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",14-12-2025 23:00,21.613267,73.010555,OZONE,58,63,60
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",14-12-2025 23:00,28.4501238,77.0263051,OZONE,8,55,35
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",14-12-2025 23:00,30.1480566,77.2893471,PM2.5,114,299,193
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",14-12-2025 23:00,30.1480566,77.2893471,NO2,12,21,18
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",14-12-2025 23:00,30.1480566,77.2893471,SO2,10,15,10
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",14-12-2025 23:00,30.943887,76.801991,PM10,55,434,201
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",14-12-2025 23:00,30.943887,76.801991,NH3,4,8,6
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",14-12-2025 23:00,30.943887,76.801991,SO2,34,127,53
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",14-12-2025 23:00,34.066206,74.81982,CO,21,26,23
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",14-12-2025 23:00,34.066206,74.81982,OZONE,1,2,1
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",14-12-2025 23:00,23.80569,86.44268,PM2.5,20,240,111
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",14-12-2025 23:00,23.80569,86.44268,CO,6,29,13
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",14-12-2025 23:00,23.707909,86.41467,PM10,NA,NA,NA
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",14-12-2025 23:00,12.9135218,77.5950804,NH3,5,9,7
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",14-12-2025 23:00,12.9352049,77.6814488,PM2.5,NA,NA,NA
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",14-12-2025 23:00,12.9352049,77.6814488,PM10,102,198,140
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",14-12-2025 23:00,12.9352049,77.6814488,NH3,1,1,1
